customer,st,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount
MQ68407,Oregon,F,Bachelor,437636.36,63774,111,0,Personal Auto,Four-Door Car,60
GJ59592,California,F,Bachelor,531889.66,25134,67,0,Corporate Auto,Four-Door Car,321
FY56083,Oregon,M,Bachelor,471976.22,37057,61,1,Personal Auto,Four-Door Car,47
UA94723,Oregon,F,High School or Below,442803.16,58577,110,0,Personal Auto,SUV,303
FW91032,California,M,High School or Below,587917.61,85857,73,0,Corporate Auto,Four-Door Car,100
DE34457,Oregon,F,Doctor,941690.85,70602,116,0,Personal Auto,SUV,481
HD32044,Oregon,F,Master,828815.56,33816,106,2,Corporate Auto,Four-Door Car,508
HH30454,Oregon,M,Bachelor,3265483.83,0,153,0,Personal Auto,SUV,1101
AH84063,Oregon,F,College,471945.01,89642,121,4,Corporate Auto,SUV,86
QA17596,California,F,Bachelor,390347.48,60068,98,0,Personal Auto,Two-Door Car,470
XI41052,California,F,Bachelor,545725.97,50044,139,0,Personal Auto,SUV,667
DI30528,California,F,Master,272535.64,36650,69,1,Personal Auto,Four-Door Car,56
SC66359,Arizona,F,College,443397.37,50653,110,0,Corporate Auto,SUV,262
EN61670,Arizona,F,Doctor,533246.27,68931,66,0,Personal Auto,Four-Door Car,309
DQ10761,Oregon,M,Bachelor,231509.5,0,73,1,Corporate Auto,Four-Door Car,350
BQ51587,California,F,College,541195.37,0,73,0,Personal Auto,Four-Door Car,365
JE21522,California,M,Bachelor,958733.23,39266,80,0,Personal Auto,Four-Door Car,384
WS47147,California,M,College,2210350.72,0,102,0,Personal Auto,SUV,489
ZA64638,Nevada,F,High School or Below,976494.53,0,98,1,Personal Auto,Four-Door Car,705
EW38459,Nevada,F,Bachelor,256715.15,40864,65,0,Corporate Auto,Four-Door Car,9
QW87316,Oregon,F,College,265062.28,39035,68,0,Personal Auto,Four-Door Car,244
IC43478,California,M,Bachelor,1126436.33,34923,98,0,Personal Auto,Two-Door Car,639
TE34064,California,M,High School or Below,216852.35,0,63,0,Personal Auto,Four-Door Car,453
WU60905,California,F,High School or Below,861066.75,0,111,0,Corporate Auto,SUV,532
YM18992,California,F,College,283464.62,24506,71,0,Personal Auto,Two-Door Car,511
PD55753,Oregon,M,High School or Below,893013.97,0,82,0,Personal Auto,Four-Door Car,554
KU56006,Arizona,F,College,553638.7,52220,70,1,Personal Auto,Four-Door Car,336
MJ69973,Arizona,M,High School or Below,284085.43,0,74,0,Personal Auto,Two-Door Car,402
TW43626,California,M,College,808288.1,53554,67,0,Personal Auto,Four-Door Car,327
XX84133,California,M,Bachelor,525473.43,34476,67,1,Corporate Auto,Four-Door Car,5
ZW84453,Arizona,F,Bachelor,511623.76,0,70,0,Personal Auto,Four-Door Car,131
HO29524,California,M,College,303464.7,68205,76,0,Personal Auto,Two-Door Car,99
VE89726,California,F,High School or Below,802489.99,0,119,1,Personal Auto,SUV,856
GE87503,California,M,High School or Below,1821114.32,53690,154,0,Personal Auto,SUV,739
PX90263,Oregon,M,High School or Below,512156.33,0,72,0,Personal Auto,Four-Door Car,518
NI17718,California,F,High School or Below,215017.86,0,61,0,Personal Auto,Four-Door Car,292
FY32213,California,F,High School or Below,559538.99,74454,71,0,Personal Auto,Four-Door Car,340
RZ13254,Nevada,F,Bachelor,756282.4,0,73,0,Personal Auto,Four-Door Car,350
GN45013,Oregon,M,High School or Below,538585.32,29664,71,0,Personal Auto,Four-Door Car,340
NM39588,Washington,F,Doctor,267805.83,72450,66,0,Corporate Auto,Four-Door Car,84
KU84464,Nevada,F,Bachelor,942256.79,47272,79,3,Personal Auto,Four-Door Car,64
YH43527,Oregon,F,College,360586.03,21585,92,0,Corporate Auto,Four-Door Car,441
RO30676,California,F,College,776259.06,23827,106,2,Personal Auto,Four-Door Car,37
QL59704,Arizona,F,College,2344490.05,69906,74,2,Corporate Auto,Four-Door Car,202
QH19450,California,F,High School or Below,255817.82,0,72,0,Corporate Auto,Four-Door Car,345
SA54664,Washington,M,Master,265438.1,73196,66,1,Personal Auto,Four-Door Car,85
CI38330,Washington,M,Bachelor,254978.61,72217,6464,0,Personal Auto,Four-Door Car,91
WB38524,California,M,High School or Below,296959.33,46131,74,0,Personal Auto,Two-Door Car,355
CE56187,Oregon,F,Master,436312.46,54514,109,3,Personal Auto,SUV,286
JL19416,California,F,High School or Below,588430.86,0,161,0,Personal Auto,SUV,1159
JZ61422,Nevada,F,College,527219.16,96668,66,0,Personal Auto,Four-Door Car,316
LA13377,California,M,Doctor,550989.57,78879,69,1,Personal Auto,Four-Door Car,466
NC99948,Nevada,M,College,1631368.35,0,69,0,Personal Auto,Four-Door Car,331
QD34785,Arizona,F,Bachelor,567805.02,0,76,0,Personal Auto,Four-Door Car,364
RO26085,California,F,Bachelor,1210120.88,0,112,0,Personal Auto,Luxury,1252
ES57969,Oregon,M,Bachelor,245357.08,29735,69,0,Personal Auto,Four-Door Car,331
JK55587,California,M,High School or Below,507566.27,23082,65,0,Special Auto,Four-Door Car,312
RN97635,Arizona,M,Bachelor,321497.94,53984,80,0,Corporate Auto,Four-Door Car,421
BI76326,California,F,College,1227534.31,52135,156,0,Personal Auto,SUV,430
JA34909,California,F,College,272221.07,17576,71,0,Corporate Auto,Four-Door Car,398
OJ90342,Oregon,F,Bachelor,245744.09,29486,62,0,Personal Auto,Four-Door Car,7
CM88932,Oregon,F,Master,355484.53,58557,88,0,Corporate Auto,Four-Door Car,55
JJ97525,California,M,Bachelor,492954.97,25632,63,0,Personal Auto,Two-Door Car,351
XV21647,California,F,High School or Below,803645.03,0,112,0,Personal Auto,Luxury,806
MC83487,Arizona,M,Bachelor,427691.53,18768,68,3,Corporate Auto,Four-Door Car,647
BL90769,California,F,Bachelor,3347334.95,33190,106,0,Personal Auto,SUV,508
CR57148,Oregon,F,Master,596058.14,47945,74,0,Personal Auto,Two-Door Car,128
CP85232,Arizona,M,College,4479546.94,58778,126,0,Special Auto,SUV,302
YL74732,California,F,High School or Below,383211.81,15192,100,0,Personal Auto,SUV,480
FG16766,California,F,Bachelor,683793.26,51859,171,0,Personal Auto,SUV,1003
NV55438,Nevada,F,High School or Below,528526.82,23422,72,0,Personal Auto,Two-Door Car,518
RM10880,California,F,College,309651.12,21604,79,0,Corporate Auto,Four-Door Car,379
GL56175,Arizona,M,College,358971.07,79298,90,0,Personal Auto,Four-Door Car,244
UK52289,Arizona,F,Bachelor,258240.85,76731,64,0,Special Auto,Four-Door Car,201
OT85112,Washington,M,College,340391.94,38460,88,1,Personal Auto,Four-Door Car,91
BC62782,Arizona,F,College,1357567.6,48534,115,1,Personal Auto,SUV,552
TI19722,Washington,M,Doctor,343613.43,30817,88,0,Corporate Auto,Four-Door Car,91
JP30654,Oregon,F,College,2868582.79,48412,104,0,Personal Auto,SUV,707
UM45563,Washington,M,Bachelor,450267.97,68798,114,0,Personal Auto,SUV,92
EN60878,Oregon,M,Bachelor,618311.15,23712,85,0,Personal Auto,Four-Door Car,376
JF36291,California,M,College,387364.7,28142,105,0,Personal Auto,Luxury,701
BK59444,California,F,Master,1892933.06,72196,68,0,Personal Auto,Four-Door Car,152
MK70700,California,M,Master,555329.58,68197,69,0,Personal Auto,Four-Door Car,176
IW71076,California,M,Bachelor,501125.92,75248,63,0,Corporate Auto,Four-Door Car,104
AP98768,California,F,College,1044244.63,0,98,0,Personal Auto,Four-Door Car,941
OM24164,Nevada,M,Bachelor,219961.78,0,65,1,Personal Auto,Two-Door Car,468
HR85211,Washington,F,Master,512317.09,89879,63,0,Personal Auto,Two-Door Car,94
VC87846,Oregon,M,High School or Below,748431.05,46998,96,0,Corporate Auto,Four-Door Car,460
ZM92052,Oregon,M,Bachelor,261302.31,57099,67,0,Personal Auto,Two-Door Car,67
ON73702,Arizona,F,Bachelor,908063.97,33897,114,0,Corporate Auto,SUV,539
QQ90441,Nevada,F,High School or Below,1377097.62,59207,116,0,Personal Auto,Four-Door Car,556
HU35721,Oregon,M,High School or Below,287682.29,40171,73,0,Personal Auto,Four-Door Car,350
YP47665,Washington,M,Doctor,540891.15,80192,67,0,Personal Auto,Four-Door Car,95
FU99476,Washington,M,High School or Below,677030.68,74422,85,1,Personal Auto,Four-Door Car,95
AG85615,Oregon,M,College,2414387.56,0,87,0,Special Auto,Four-Door Car,626
OY74069,Arizona,F,College,353805.95,0,67,5,Personal Auto,Four-Door Car,321
DJ91267,Nevada,F,Bachelor,2909123.94,34226,244,0,Personal Auto,Luxury,494
KB72438,California,F,High School or Below,1983420.12,65989,123,1,Personal Auto,SUV,115
TR67616,Oregon,M,High School or Below,473136.7,30686,61,0,Corporate Auto,Four-Door Car,19
GF65731,California,F,Master,3553784.6,0,113,0,Personal Auto,Luxury,799
HB67642,Arizona,F,High School or Below,3461137.9,20090,109,0,Personal Auto,Luxury,523
DP84567,California,M,High School or Below,2021630.88,0,183,0,Personal Auto,Luxury,878
VV77534,Oregon,M,College,1397651.93,77094,176,0,Personal Auto,SUV,444
GL67540,California,F,College,590408.82,97413,73,0,Personal Auto,Four-Door Car,268
SV50502,Oregon,F,Master,559583.5,79189,69,0,Corporate Auto,Four-Door Car,331
UK59698,California,F,High School or Below,229430.36,0,62,0,Personal Auto,Two-Door Car,297
OA57352,Arizona,F,College,627391.19,18577,86,0,Personal Auto,Four-Door Car,412
ZF84449,Oregon,F,College,372672.8,0,112,1,Special Auto,Luxury,806
AX86150,Washington,M,High School or Below,265671.31,62777,67,0,Personal Auto,Two-Door Car,101
HG39060,Oregon,M,Bachelor,511068.08,0,74,0,Corporate Auto,Four-Door Car,532
EM29359,Nevada,M,College,712659.65,17483,183,0,Personal Auto,Luxury,1317
SF57173,Oregon,M,Master,460163.41,84394,114,0,Personal Auto,SUV,691
OT47603,Oregon,M,College,915523.97,0,127,0,Personal Auto,Luxury,804
SW31412,Oregon,F,College,1480805.62,41440,62,1,Personal Auto,Four-Door Car,297
JS36322,Arizona,M,High School or Below,890167.84,0,136,1,Personal Auto,Luxury,1090
RE81445,Oregon,F,College,573459.82,98132,71,0,Personal Auto,Two-Door Car,50
RM24280,Oregon,F,High School or Below,417769.7,0,112,0,Personal Auto,Four-Door Car,537
LC25393,California,M,Bachelor,2777628.91,88220,230,0,Personal Auto,Luxury,151
UX38930,Arizona,F,Master,1036434.75,58327,129,0,Personal Auto,SUV,347
HD95496,Oregon,M,Master,785190.14,25950,66,0,Personal Auto,Two-Door Car,271
RX24650,Oregon,M,High School or Below,477294.38,20993,133,0,Corporate Auto,SUV,638
DW19309,Oregon,M,High School or Below,1422650.49,65726,177,0,Corporate Auto,SUV,849
MT41386,Washington,M,Bachelor,287543.24,84768,72,0,Personal Auto,Two-Door Car,110
WZ40465,Washington,F,Bachelor,504129.96,36234,63,0,Personal Auto,Four-Door Car,113
DB42794,California,M,College,436293.12,58842,110,0,Personal Auto,Four-Door Car,528
JB50798,Oregon,F,Master,962452.44,25629,124,2,Corporate Auto,Luxury,595
IP69763,Washington,F,College,2191440.55,77311,181,0,Personal Auto,SUV,113
TE35785,California,M,Doctor,694842.22,0,196,2,Personal Auto,Luxury,1337
HX74855,Washington,M,High School or Below,247152.84,95697,61,0,Personal Auto,Two-Door Car,114
QN65180,Oregon,F,Bachelor,2190391.36,22254,79,0,Personal Auto,Four-Door Car,125
GE47180,Nevada,M,High School or Below,902882.14,65974,113,0,Personal Auto,Luxury,235
VQ38776,Oregon,F,College,530375.95,0,76,0,Personal Auto,Four-Door Car,395
BH86846,Washington,M,High School or Below,2070825.88,92079,65,1,Corporate Auto,Four-Door Car,114
IN17648,Nevada,M,High School or Below,512376.81,0,74,0,Personal Auto,Two-Door Car,772
DF95759,Oregon,M,College,949234.3,0,132,0,Personal Auto,SUV,633
QG45324,Oregon,F,High School or Below,820486.32,0,73,0,Personal Auto,Four-Door Car,350
MN61620,Arizona,F,College,987729.57,67752,131,4,Personal Auto,Luxury,168
YH86390,California,F,Bachelor,481500.97,25398,64,0,Corporate Auto,Four-Door Car,307
FY13480,California,M,High School or Below,627701.17,0,88,0,Personal Auto,Four-Door Car,633
YH61661,California,M,High School or Below,826063.98,33321,105,0,Special Auto,SUV,504
NL93182,Nevada,M,Bachelor,254945.0,0,78,0,Corporate Auto,Four-Door Car,845
LN31673,Washington,Unknown,College,1131808.98,38923,99,2,Personal Auto,Four-Door Car,115
WE68644,Oregon,F,Bachelor,380392.18,20325,100,0,Personal Auto,Luxury,668
EZ30498,Oregon,M,Bachelor,863540.35,13129,117,0,Personal Auto,SUV,700
QY74517,Oregon,F,High School or Below,551055.9,0,73,0,Personal Auto,Four-Door Car,525
NM88660,Nevada,M,Master,358588.41,49080,91,0,Corporate Auto,Four-Door Car,25
MZ82036,Nevada,M,College,488925.28,42536,63,0,Personal Auto,Four-Door Car,375
ID20929,Oregon,M,Bachelor,275694.17,29926,74,0,Corporate Auto,Four-Door Car,418
EY50028,Nevada,M,Doctor,328954.74,0,86,0,Corporate Auto,Two-Door Car,398
TT82373,California,F,Bachelor,1093717.85,21450,138,0,Personal Auto,Luxury,938
OH64088,California,M,High School or Below,737556.79,33345,65,0,Corporate Auto,Four-Door Car,338
SK97780,California,F,Bachelor,1011077.82,15752,90,0,Corporate Auto,Two-Door Car,339
IO33050,Oregon,F,High School or Below,511941.43,40169,65,1,Personal Auto,Four-Door Car,302
XA55917,California,F,College,853383.2,26049,113,1,Personal Auto,SUV,619
JK32620,Nevada,M,College,222476.8,0,68,0,Personal Auto,Four-Door Car,326
RQ19236,Arizona,M,Doctor,804280.38,55411,100,0,Personal Auto,Luxury,259
QC47433,Oregon,M,College,255443.71,12459,70,0,Personal Auto,Four-Door Car,336
RA93608,Oregon,M,Bachelor,1807394.0,64620,76,1,Personal Auto,Two-Door Car,364
XH97711,California,M,Bachelor,243050.66,83140,61,0,Corporate Auto,Four-Door Car,179
AU96286,Oregon,F,Bachelor,316765.84,0,92,0,Corporate Auto,Four-Door Car,662
KC17170,Arizona,F,Bachelor,546560.4,54422,68,0,Corporate Auto,Four-Door Car,75
ZN47335,California,M,College,1035751.42,68309,131,0,Corporate Auto,SUV,306
EI46264,California,M,High School or Below,253781.39,56621,65,2,Personal Auto,Four-Door Car,84
EK87864,Arizona,F,College,282194.72,38977,70,0,Special Auto,Four-Door Car,139
GV45403,Arizona,M,Bachelor,775712.81,0,111,0,Corporate Auto,Two-Door Car,607
QK31192,Arizona,M,High School or Below,407913.27,0,114,0,Corporate Auto,Two-Door Car,631
LU89008,Arizona,F,College,595554.46,0,83,0,Personal Auto,Four-Door Car,628
NS10490,Oregon,F,Bachelor,1415861.36,83235,70,0,Personal Auto,Two-Door Car,336
KL98495,Nevada,M,College,848723.8,0,74,0,Personal Auto,Two-Door Car,426
IU96845,Arizona,M,College,628547.69,32390,80,0,Personal Auto,Four-Door Car,91
QL93655,Oregon,F,High School or Below,1147348.15,66538,95,0,Personal Auto,Two-Door Car,317
PF40592,Washington,F,College,494263.06,23285,65,0,Personal Auto,Two-Door Car,118
LZ34046,Oregon,M,Bachelor,2359468.02,76358,66,0,Personal Auto,Four-Door Car,86
JC80093,Washington,M,Master,257250.66,21104,66,0,Personal Auto,Four-Door Car,118
YE88490,Arizona,F,College,538089.86,55350,67,0,Personal Auto,Four-Door Car,321
YC80498,California,F,College,477055.09,12964,65,0,Personal Auto,Two-Door Car,362
AI85843,Arizona,F,Master,675665.14,33288,86,2,Personal Auto,Four-Door Car,221
XD66024,Arizona,F,College,593601.18,0,84,0,Personal Auto,Four-Door Car,980
FY51713,Arizona,F,Bachelor,357076.05,56168,88,0,Personal Auto,Four-Door Car,614
PH26378,California,M,College,601996.05,0,92,0,Personal Auto,Four-Door Car,662
WQ18638,Oregon,M,High School or Below,542686.4,23105,69,0,Personal Auto,Two-Door Car,331
KY14688,Oregon,F,Master,273031.38,36218,68,0,Personal Auto,Four-Door Car,145
TC97762,California,F,High School or Below,498268.14,52275,62,0,Corporate Auto,Four-Door Car,374
QC87108,Oregon,F,College,876926.68,49665,74,0,Personal Auto,Four-Door Car,355
CX12134,Nevada,M,High School or Below,422061.35,32471,110,0,Personal Auto,Two-Door Car,528
SM73248,Arizona,M,High School or Below,1153750.51,0,86,1,Corporate Auto,Two-Door Car,619
CK19789,California,F,Master,588718.2,62773,73,0,Personal Auto,Four-Door Car,80
UV12583,California,F,College,470058.38,76694,117,0,Personal Auto,SUV,561
JC11405,Oregon,M,High School or Below,1096395.72,55687,276,0,Personal Auto,Luxury,1324
KA89683,Arizona,F,High School or Below,252317.12,0,70,0,Personal Auto,Four-Door Car,504
BG85305,Nevada,M,Doctor,375780.47,36633,96,1,Personal Auto,Four-Door Car,460
UQ87917,Oregon,M,High School or Below,1294173.35,77060,106,0,Personal Auto,SUV,468
XN11823,Nevada,F,Bachelor,376446.51,92600,94,0,Corporate Auto,Two-Door Car,842
OS46571,California,M,High School or Below,688955.7,0,66,0,Personal Auto,Four-Door Car,475
PX17116,Nevada,M,College,362345.42,0,111,2,Corporate Auto,SUV,1171
RP19541,Arizona,M,College,758211.38,64801,64,0,Personal Auto,Four-Door Car,268
ZR25747,Oregon,F,College,827774.56,45257,103,0,Corporate Auto,Two-Door Car,494
NQ86532,California,M,High School or Below,257645.56,26854,66,0,Personal Auto,Four-Door Car,475
JY27336,Oregon,F,College,820538.79,85840,102,2,Corporate Auto,SUV,138
PB54378,Oregon,F,Doctor,1958246.89,26463,72,0,Corporate Auto,Four-Door Car,345
SV38190,Nevada,F,Bachelor,648152.66,30689,81,0,Personal Auto,Four-Door Car,467
CV24005,Oregon,M,High School or Below,259931.09,29590,66,0,Corporate Auto,Two-Door Car,467
EX28656,Oregon,F,College,983033.76,25965,253,0,Personal Auto,Luxury,1214
CF57022,Oregon,M,Bachelor,1044265.14,17269,139,0,Personal Auto,SUV,667
GM16780,Oregon,M,College,3605753.7,90330,137,3,Corporate Auto,Luxury,192
BX94438,California,F,High School or Below,847003.68,0,113,0,Corporate Auto,SUV,619
RM41745,California,F,High School or Below,827878.65,0,110,0,Personal Auto,Four-Door Car,1002
XR70252,California,F,High School or Below,478893.26,0,67,1,Personal Auto,Two-Door Car,321
YH92099,Arizona,F,Bachelor,308799.99,18558,80,0,Special Auto,Four-Door Car,384
SG81493,Arizona,M,Bachelor,444373.62,46384,113,0,Corporate Auto,Four-Door Car,251
ZX23819,Oregon,F,High School or Below,798408.65,0,72,0,Personal Auto,Two-Door Car,866
FJ54907,Oregon,F,College,718097.1,42303,180,0,Personal Auto,Luxury,1210
CU26127,California,F,Bachelor,1565603.43,71731,130,0,Corporate Auto,SUV,599
YH60476,Oregon,M,High School or Below,578018.22,51066,74,0,Corporate Auto,Four-Door Car,787
ZZ97035,California,M,College,2071494.04,0,203,0,Corporate Auto,Luxury,2027
GE82737,Nevada,F,Bachelor,533735.24,0,86,3,Personal Auto,Four-Door Car,619
KY21873,Arizona,M,College,505082.62,0,69,0,Personal Auto,Two-Door Car,72
UA51318,Arizona,F,High School or Below,511662.4,26173,68,1,Corporate Auto,Four-Door Car,449
BV55014,Oregon,M,Bachelor,726873.7,24445,63,0,Personal Auto,Two-Door Car,302
HX21307,Oregon,M,College,261661.39,72302,66,0,Personal Auto,Two-Door Car,316
LQ68252,Oregon,M,High School or Below,373843.62,27208,102,0,Personal Auto,SUV,489
CR92802,California,F,Master,272535.64,36650,69,1,Special Auto,Four-Door Car,56
SL35268,Arizona,M,College,545386.12,30855,68,0,Corporate Auto,Four-Door Car,259
RD62882,Arizona,F,Bachelor,684615.03,0,95,0,Personal Auto,Two-Door Car,456
JS42382,Oregon,M,Master,617291.42,99960,76,0,Corporate Auto,Four-Door Car,364
BT30554,Arizona,F,Bachelor,1034632.45,0,98,0,Personal Auto,Four-Door Car,470
VP57424,Nevada,F,Bachelor,699700.86,55873,88,0,Personal Auto,Four-Door Car,299
VU19243,Arizona,F,High School or Below,419625.77,18052,111,0,Personal Auto,Four-Door Car,699
TA82973,Oregon,F,High School or Below,785810.98,28937,104,2,Personal Auto,SUV,117
GK71720,Oregon,F,High School or Below,606434.4,0,86,0,Personal Auto,Four-Door Car,545
OQ61223,California,M,College,1749752.2,0,73,0,Personal Auto,Two-Door Car,350
LL62746,Oregon,M,Doctor,897064.73,12829,118,0,Personal Auto,SUV,328
JQ56711,Oregon,F,Master,592311.72,92163,73,0,Personal Auto,Two-Door Car,66
AW77988,Oregon,M,High School or Below,3585059.94,17588,192,0,Personal Auto,Luxury,1382
QP84605,Washington,F,Bachelor,870984.53,41546,111,0,Corporate Auto,Four-Door Car,121
MY97912,Arizona,M,College,1330933.52,0,127,0,Personal Auto,SUV,609
IB87349,California,M,High School or Below,452850.49,70340,113,0,Special Auto,Four-Door Car,542
AW73065,Oregon,F,High School or Below,279190.65,0,74,0,Personal Auto,Four-Door Car,532
BW80872,Washington,M,High School or Below,443441.12,34549,111,0,Personal Auto,Four-Door Car,125
PX70175,Arizona,M,College,799600.75,93459,99,0,Personal Auto,Four-Door Car,655
KF75098,Arizona,M,Bachelor,512973.9,86148,65,2,Personal Auto,Four-Door Car,312
IS50283,California,F,Bachelor,569717.52,27048,72,0,Corporate Auto,Four-Door Car,345
MY64920,Oregon,F,College,921713.06,73259,115,0,Personal Auto,SUV,673
KN34250,Oregon,F,College,1020892.76,35482,129,0,Corporate Auto,SUV,619
GN46207,Oregon,F,Master,417068.73,29462,107,1,Personal Auto,SUV,513
KL57176,Oregon,F,College,450540.58,67801,115,1,Personal Auto,SUV,23
MN94234,California,M,High School or Below,310756.86,0,94,4,Personal Auto,Two-Door Car,451
JY90595,Arizona,M,High School or Below,552866.5,16042,73,0,Personal Auto,Two-Door Car,350
HK26543,California,M,High School or Below,504586.67,28056,64,1,Personal Auto,Four-Door Car,307
PN86062,California,M,High School or Below,296272.25,16495,85,3,Corporate Auto,Four-Door Car,408
VW27730,California,F,Master,866595.64,41163,108,0,Corporate Auto,SUV,231
SH55671,Arizona,F,College,1141344.12,0,161,1,Personal Auto,Luxury,772
MO56878,California,M,Bachelor,1548843.2,33799,109,3,Corporate Auto,SUV,664
VO38365,Washington,F,College,886114.95,90125,110,0,Corporate Auto,SUV,128
SV35618,Oregon,F,Bachelor,593474.15,87747,147,1,Personal Auto,SUV,46
RX12347,Nevada,M,College,354323.21,35695,90,0,Personal Auto,Four-Door Car,432
FR55658,California,M,Master,349002.83,90985,87,0,Personal Auto,Four-Door Car,78
XS12556,California,F,College,368309.99,0,101,0,Corporate Auto,Luxury,564
ZU73588,California,M,College,598977.39,66839,154,0,Personal Auto,Luxury,739
WT43034,California,F,High School or Below,1250084.3,0,165,0,Personal Auto,SUV,792
VM13430,Oregon,F,Bachelor,860915.82,79090,107,0,Corporate Auto,SUV,289
TC78849,Oregon,M,Bachelor,249745.51,24825,64,0,Personal Auto,Two-Door Car,155
VC34764,California,M,College,701917.72,26806,63,0,Personal Auto,Four-Door Car,302
WO90953,Oregon,F,College,538792.63,56835,67,0,Personal Auto,Two-Door Car,326
IU47468,Oregon,F,Bachelor,616555.75,0,88,0,Special Auto,Two-Door Car,653
KO46064,California,M,Bachelor,273020.29,46135,69,0,Personal Auto,Four-Door Car,103
RB34917,Arizona,F,Bachelor,516211.69,0,73,0,Personal Auto,Four-Door Car,809
BI38192,Oregon,F,High School or Below,793706.48,22862,67,0,Personal Auto,Two-Door Car,321
PU18983,Oregon,F,High School or Below,860815.72,21450,110,2,Personal Auto,Luxury,528
SW79912,Oregon,M,Bachelor,263254.58,95854,65,0,Personal Auto,Two-Door Car,312
ES39217,Oregon,F,Bachelor,778500.42,44897,99,1,Personal Auto,Four-Door Car,580
KP72427,Washington,M,High School or Below,2163983.86,64455,108,0,Personal Auto,SUV,133
UA19178,Oregon,F,Master,498082.5,53265,62,0,Personal Auto,Four-Door Car,238
PR53785,Arizona,F,High School or Below,745723.78,0,198,1,Personal Auto,Luxury,1577
XF57481,Washington,M,Master,1064093.93,50450,90,0,Personal Auto,Two-Door Car,135
CN90378,California,F,High School or Below,686250.83,54780,88,3,Personal Auto,Four-Door Car,135
KI56154,Nevada,M,High School or Below,904898.34,0,119,0,Personal Auto,Luxury,571
UI55951,California,M,Bachelor,554803.19,67798,69,0,Personal Auto,Four-Door Car,331
FF28650,Oregon,M,Bachelor,831268.16,21442,118,0,Personal Auto,SUV,566
FS55302,California,M,Bachelor,238998.1,27615,62,1,Personal Auto,Four-Door Car,297
TN79487,California,M,Bachelor,445811.34,17622,65,1,Personal Auto,Four-Door Car,312
HG32616,Nevada,M,High School or Below,529574.17,50200,135,0,Personal Auto,Luxury,637
UK41984,Arizona,F,Doctor,383960.61,0,112,2,Personal Auto,SUV,537
LZ52266,California,F,High School or Below,373150.46,0,96,0,Personal Auto,Four-Door Car,460
PM27367,California,F,Master,277890.37,73570,70,1,Special Auto,Two-Door Car,75
ZK21724,Oregon,F,High School or Below,401654.2,0,111,0,Personal Auto,SUV,799
BH35482,Washington,M,Doctor,493094.93,70412,61,0,Corporate Auto,Two-Door Car,136
QE22757,Nevada,M,Doctor,249131.7,36631,62,0,Personal Auto,Four-Door Car,67
ON77649,Oregon,F,College,290887.59,35895,73,0,Personal Auto,Four-Door Car,312
RN82884,Arizona,F,College,428294.8,40864,109,1,Personal Auto,SUV,166
CQ75652,Oregon,M,College,834162.37,0,118,0,Personal Auto,Four-Door Car,566
FF58467,Arizona,F,Master,509078.13,93018,63,0,Personal Auto,Four-Door Car,135
BS83666,Oregon,M,Bachelor,736618.83,70014,62,0,Corporate Auto,Four-Door Car,17
WO29605,Oregon,F,College,243687.51,48875,61,0,Personal Auto,Two-Door Car,1
TL77607,California,M,Bachelor,885268.87,67969,74,0,Personal Auto,Four-Door Car,197
EZ50606,Oregon,F,High School or Below,2387547.68,0,108,0,Corporate Auto,SUV,612
OS39723,Oregon,F,Doctor,560049.65,68665,69,0,Personal Auto,Two-Door Car,331
FN69743,California,M,College,463654.65,26802,66,1,Corporate Auto,Two-Door Car,316
XW96958,Nevada,M,High School or Below,757334.51,0,110,0,Corporate Auto,Four-Door Car,1193
TU92578,California,M,College,1469663.55,45345,125,0,Personal Auto,SUV,600
TL43709,Washington,M,Bachelor,897214.03,89689,74,0,Personal Auto,Four-Door Car,136
YE68736,California,F,Bachelor,772484.01,32051,193,1,Personal Auto,SUV,926
OB96537,Oregon,M,Master,594667.07,81139,74,0,Special Auto,Four-Door Car,392
EU68825,Oregon,F,Master,800054.51,63834,100,1,Personal Auto,Luxury,215
CC31456,Arizona,M,Bachelor,645756.1,37548,81,0,Special Auto,Four-Door Car,160
DJ77787,Arizona,F,High School or Below,728144.01,0,69,3,Personal Auto,Four-Door Car,371
LN26837,California,M,High School or Below,259243.78,72421,65,0,Personal Auto,Four-Door Car,312
YI92916,Nevada,M,Master,467842.34,83102,116,0,Corporate Auto,Four-Door Car,443
NW54906,Oregon,M,College,1386992.71,28432,118,0,Personal Auto,SUV,612
ME77513,Nevada,F,Master,871777.78,83707,108,0,Corporate Auto,Four-Door Car,290
UK76891,California,F,College,523398.68,63259,65,0,Corporate Auto,Four-Door Car,316
SI26888,Nevada,F,High School or Below,476418.97,0,67,0,Personal Auto,Four-Door Car,405
YD74948,Oregon,F,College,247246.92,63860,62,0,Personal Auto,Four-Door Car,208
HB64268,Washington,M,Bachelor,281369.26,43836,73,0,Personal Auto,Four-Door Car,138
BW52697,California,F,College,550505.7,86132,68,0,Personal Auto,Two-Door Car,301
NL41409,Oregon,F,Bachelor,260620.85,28519,66,0,Personal Auto,Two-Door Car,456
OD69005,Arizona,F,High School or Below,1048194.38,39102,88,0,Personal Auto,Four-Door Car,152
ZZ91716,California,F,Bachelor,325676.64,0,89,0,Personal Auto,Four-Door Car,491
UK70255,California,F,College,3047578.05,97298,128,0,Personal Auto,Luxury,48
